symbol,go,price,base_rsi,20210826,20210808
SOXL,True,44.78,65,56.68,62.17
FNGU,True,36.32,65,55.44,51.02
TQQQ,False,143.41,60,66.20,63.12
TECL,False,66.73,60,63.86,64.85
WEBL,True,89.43,60,56.97,46.79
UPRO,False,129.74,55,64.48,62.11
WANT,True,68.94,55,54.70,50.63
HIBL,True,64.81,55,53.98,53.55
TNA,False,87.61,50,53.34,51.79
RETL,False,235.45,50,56.29,48.04
UDOW,False,78.98,50,57.41,57.14
LABU,False,61.05,50,54.29,47.2
NAIL,False,90.89,50,59.56,57.17
DUSL,False,45.79,45,54.95,52.21
PILL,True,19.63,45,41.34,46.76
MIDU,False,63.94,45,57.90,55.35
DFEN,False,21.96,45,46.83,50.98
FAS,False,126.20,45,63.10,62.78
CURE,False,128.63,45,60.85,66.7
TPOR,False,39.88,40,53.48,45.63
DPST,False,210.38,40,55.58,56.19
DRN,False,23.95,40,50.22,61.14
GDXU,False,11.83,35,38.92,37.1
YINN,False,11.75,35,43.68,35.11
KORU,False,33.58,35,40.00,47.96
BNKU,False,59.65,35,61.52,60.74
UTSL,False,35.07,35,59.43,63.96
